ID,Epic,Feature,Title,Description,Owner,Points,Sprint,Priority,Status,Dependencies,Definition of Done,Estimated Hours
F6.8,ML Models Phase 2,LSTM Deep Learning,"T6.8: Notebook + documentation",Validation notebook, explainer,Mikael,1,S13,P1,Pending,F6.7,"Notebook published, doc complete",2
F7.1.1,Trading Simulation,Paper Trading Modèle,"T7.1: Modèle Pydantic + ORM",PaperTrade data model,Mikael,1,S13,P2,Pending,None,"Model merge, schema OK",2
F7.1.2,Trading Simulation,Paper Trading Modèle,"T7.2: Migration BDD",paper_trades table (hypertable),Mikael,1,S13,P2,Pending,F7.1.1,"Migration apply, constraints OK",1
F7.1.3,Trading Simulation,Paper Trading Modèle,"T7.3: Logique clôture",SL/TP/timeout logic, state machine,Mikael,2,S13,P2,Pending,F7.1.2,"Logic merge, edge cases tested",3
F7.1.4,Trading Simulation,Paper Trading Modèle,"T7.4: Calcul PnL + portfolio",Unrealized, realized, ROI %,Mikael,1,S13,P2,Pending,F7.1.3,"Calculations merge, verified",2
F7.1.5,Trading Simulation,Paper Trading Modèle,"T7.5: Tests modèle",Unit tests, edge cases (long/short),Mikael,1,S13,P2,Pending,F7.1.4,"Coverage ≥80%, tests pass",3
F7.2.1,Trading Simulation,Paper Trading API,"T7.6: Service layer",PaperTradeService business logic,Jules,1,S13,P2,Pending,F7.1.5,"Service merge, tested",3
F7.2.2,Trading Simulation,Paper Trading API,"T7.7: API routers",POST/GET /paper-trades, GET /portfolio,Jules,1,S13,P2,Pending,F7.2.1,"Routes merge, tested",2
F7.2.3,Trading Simulation,Paper Trading API,"T7.8: Tests API",E2E tests, mock data,Jules,1,S13,P2,Pending,F7.2.2,"Coverage ≥80%, tests pass",2
F7.3.1,Trading Simulation,Paper Trading Frontend,"T7.9: Streamlit page",Portfolio page, trades list, history,Mikael,2,S14,P2,Pending,F7.2.3,"Page merge, functional",3
F7.3.2,Trading Simulation,Paper Trading Frontend,"T7.10: Charts",Equity curve, drawdown, monthly returns,Mikael,1,S14,P2,Pending,F7.3.1,"Charts merge, interactive",3
F7.3.3,Trading Simulation,Paper Trading Frontend,"T7.11: Tests Streamlit",Page load, chart generation,Mikael,1,S14,P2,Pending,F7.3.2,"Tests pass, no timeout",1
F8.1.1,Advanced ML,Reinforcement Learning,"T8.1: RL env design",State/action/reward space design,Mikael,1,S15,P2,Pending,F7.3.3,"Design doc, approved",2
F8.1.2,Advanced ML,Reinforcement Learning,"T8.2: Implementer Gym env",TradingEnv class, step/reset,Mikael,2,S15,P2,Pending,F8.1.1,"Env merge, action sampling OK",4
F8.1.3,Advanced ML,Reinforcement Learning,"T8.3: Normalisation état",Feature scaling, state normalization,Mikael,1,S15,P2,Pending,F8.1.2,"Normalization tested",2
F8.1.4,Advanced ML,Reinforcement Learning,"T8.4: Tests env",Unit tests action sampling, step logic,Mikael,1,S15,P2,Pending,F8.1.3,"Tests pass, coverage ≥70%",2
F8.2.1,Advanced ML,Reinforcement Learning,"T8.5: DQN agent",stable-baselines3 DQN training,Mikael,2,S15,P2,Pending,F8.1.4,"DQN merge, training works",5
F8.2.2,Advanced ML,Reinforcement Learning,"T8.6: PPO agent",stable-baselines3 PPO training,Mikael,2,S15,P2,Pending,F8.1.4,"PPO merge, training works",5
F8.2.3,Advanced ML,Reinforcement Learning,"T8.7: Baseline random",Random policy for comparison,Mikael,1,S15,P2,Pending,None,"Baseline merge",1
F8.2.4,Advanced ML,Reinforcement Learning,"T8.8: Hyperparameter grid",Hyperparameter search DQN+PPO,Mikael,1,S15,P2,Pending,F8.2.1;F8.2.2,"Grid search results, best params",2
F8.3.1,Advanced ML,Reinforcement Learning,"T8.9: Training pipeline",Data loading, train loop setup,Mikael,1,S16,P2,Pending,F8.2.1;F8.2.2,"Pipeline merge, training completes",3
F8.3.2,Advanced ML,Reinforcement Learning,"T8.10: MLflow tracking","Params, metrics, Sharpe, drawdown",Mikael,1,S16,P2,Pending,F8.3.1,"MLflow dashboard, experiments logged",2
F8.3.3,Advanced ML,Reinforcement Learning,"T8.11: Walk-forward validation",Hold-out test data, performance check,Mikael,1,S16,P2,Pending,F8.3.2,"Validation report, metrics ≥seuil",3
F8.3.4,Advanced ML,Reinforcement Learning,"T8.12: Agent comparison",DQN vs PPO vs random baseline,Mikael,1,S16,P2,Pending,F8.3.3,"Comparison merge, winner clear",1
F8.4.1,Advanced ML,Reinforcement Learning,"T8.13: Model serialization",ONNX/TorchScript export,Mikael,1,S16,P2,Pending,F8.3.4,"Models exported, loadable",1
F8.4.2,Advanced ML,Reinforcement Learning,"T8.14: Tests reproductibilité",Seed management, determinism,Mikael,1,S16,P2,Pending,F8.3.2,"Tests pass, seeds fixed",2
F8.4.3,Advanced ML,Reinforcement Learning,"T8.15: Documentation",Env guide, agent guide, notebooks,Mikael,1,S16,P2,Pending,All,"Doc complete, examples run",2
INTEGRATION,All,Integration & Testing,"Integration tests signal→alert→trade",E2E signal to alert and trade,Jules+Mikael,3,S14,P1,Pending,F4.6;F7.2.3,"E2E test pass, logs verified",5
BUFFER,All,Buffer & Polish,"Bug fixes, optimization, deployment",Contingency work,Jules+Mikael,6,S14-S16,P0,Pending,None,"Tasks logged, prioritized by risk",10
